﻿Título da Revista;ISSN;Homepage;Grande Area;Area do Conhecimento;Subárea do Conhecimento;Indexador;JIF;Quartil JCR;SJR;SJR Best Quartile;H index;Índice h5
Environment and Ecology Research;2331-6268;http://www.hrpub.org/journals/jour_archive.php?id=40;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;-;-;0,228;Q3;11.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environment%20and%20Ecology%20Research&btnG=
Environment and Health;2833-8278;;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;-;-;2,216;Q1;16.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environment%20and%20Health&btnG=
Environment and History;0967-3407;http://www.ingentaconnect.com/content/whp/eh;Lingüística, Letras e Artes;Artes;Artes e Humanidades, Ciência Ambiental, Ciências Sociais;Scopus;-;-;0,331;Q1;38.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environment%20and%20History&btnG=
Environment and Natural Resources Journal;1686-5456;https://ph02.tci-thaijo.org/index.php/ennrj/index;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;-;-;0,337;Q3;16.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environment%20and%20Natural%20Resources%20Journal&btnG=
Environment and Planning A;1472-3409;https://us.sagepub.com/en-us/nam/environment-and-planning-a-economy-and-space/journal202436#editorial-board;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Sociais;Scopus;4;Q1;1,742;Q1;171.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environment%20and%20Planning%20A&btnG=
Environment and Planning B: Urban Analytics and City Science;2399-8083;https://us.sagepub.com/en-us/nam/environment-and-planning-b-urban-analytics-and-city-science/journal203385;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Sociais, Engenharia;Scopus;3,1;Q1;1,018;Q1;123.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environment%20and%20Planning%20B%3A%20Urban%20Analytics%20and%20City%20Science&btnG=
Environment and Planning C: Politics and Space;2399-6552;https://us.sagepub.com/en-us/nam/environment-and-planning-c-politics-and-space/journal203386;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Sociais;Scopus;2,2;Q2;1,227;Q1;93.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environment%20and%20Planning%20C%3A%20Politics%20and%20Space&btnG=
Environment and Planning D: Society and Space;0263-7758;https://us.sagepub.com/en-us/nam/environment-and-planning-d-society-and-space/journal202439;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Sociais;Scopus;2,5;Q1;1,314;Q1;140.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environment%20and%20Planning%20D%3A%20Society%20and%20Space&btnG=
Environment and Planning E: Nature and Space;2514-8486;https://us.sagepub.com/en-us/nam/environment-and-planning-e-nature-and-space/journal203402;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Sociais;Scopus;3,2;Q1;1,589;Q1;42.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environment%20and%20Planning%20E%3A%20Nature%20and%20Space&btnG=
Environment and Social Psychology;2424-8975;http://ojs.whioce.com/index.php/esp/;Ciências Humanas;Psicologia;Ciências Sociais, Psicologia;Scopus;-;-;0,236;Q3;16.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environment%20and%20Social%20Psychology&btnG=
Environment and Society: Advances in Research;2150-6779;https://www.berghahnjournals.com/view/journals/environment-and-society/environment-and-society-overview.xml;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Sociais;Scopus;3,5;Q2;0,854;Q1;28.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environment%20and%20Society%3A%20Advances%20in%20Research&btnG=
Environment and Urbanization;0956-2478;http://www.sagepub.com/journals/Journal201733/title;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Sociais;Scopus;2,4;Q2;0,623;Q1;100.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environment%20and%20Urbanization&btnG=
Environment and Urbanization ASIA;0976-3546;https://us.sagepub.com/en-us/nam/journal/environment-and-urbanization-asia;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Sociais;Scopus;-;-;0,296;Q2;28.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environment%20and%20Urbanization%20ASIA&btnG=
Environment and Water Engineering;2476-3683;;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;-;-;0,127;Q4;6.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environment%20and%20Water%20Engineering&btnG=
Environment, Development and Sustainability;1387-585X;https://link.springer.com/journal/10668;Ciências Sociais Aplicadas;Economia;Ciência Ambiental, Ciências Sociais, Econometria e Finanças, Economia;Scopus;4,2;Q2;0,972;Q1;112.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environment%2C%20Development%20and%20Sustainability&btnG=
Environment, Space, Place;2068-9616;http://www.zetabooks.com/environment-space-place.html;Lingüística, Letras e Artes;Artes;Artes e Humanidades, Ciência Ambiental, Ciências Sociais;Scopus;-;-;0,125;Q3;4.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environment%2C%20Space%2C%20Place&btnG=
EnvironmentAsia;1906-1714;;Ciências Biológicas;Farmacologia;Ciência Ambiental, Farmacologia, Toxicologia e Farmacêutica;Scopus;-;-;0,191;Q4;26.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EnvironmentAsia&btnG=
Environmental Advances;2666-7657;https://www.journals.elsevier.com/environmental-advances;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;-;-;1,491;Q1;46.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Advances&btnG=
Environmental Analysis Health and Toxicology;2671-9525;http://eaht.org;Ciências Biológicas;Farmacologia;Ciência Ambiental, Farmacologia, Medicina, Toxicologia e Farmacêutica;Scopus;-;-;0,715;Q2;20.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Analysis%20Health%20and%20Toxicology&btnG=
Environmental Archaeology;1461-4103;https://www.tandfonline.com/toc/yenv20/current;Lingüística, Letras e Artes;Artes;Artes e Humanidades, Ciência Ambiental, Ciências Sociais;Scopus;1,1;Q4;0,671;Q1;39.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Archaeology&btnG=
Environmental Biology of Fishes;0378-1909;http://www.springer.com/life+sciences/ecology/journal/10641;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Agrárias e Biológicas;Scopus;1,8;Q2;0,545;Q2;104.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Biology%20of%20Fishes&btnG=
Environmental Challenges;2667-0100;https://www.journals.elsevier.com/environmental-challenges;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;-;-;1,342;Q1;58.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Challenges&btnG=
Environmental Chemistry;0254-6108;;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências da Terra e Planetárias, Química;Scopus;-;-;0,531;Q2;81.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Chemistry&btnG=
Environmental Chemistry Letters;1610-3653;https://link.springer.com/journal/10311;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;20,4;Q1;4,331;Q1;168.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Chemistry%20Letters&btnG=
Environmental Chemistry and Ecotoxicology;2590-1826;https://www.sciencedirect.com/journal/environmental-chemistry-and-ecotoxicology;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Agrárias e Biológicas;Scopus;-;-;2,109;Q1;35.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Chemistry%20and%20Ecotoxicology&btnG=
Environmental Claims Journal;1547-657X;https://www.tandfonline.com/toc/becj20/current;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;-;-;0,214;Q4;16.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Claims%20Journal&btnG=
Environmental Communication;1752-4040;https://www.tandfonline.com/toc/renc20/current;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;4,1;Q1;1,54;Q1;65.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Communication&btnG=
Environmental Conservation;0376-8929;https://www.cambridge.org/core/journals/environmental-conservation;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;2,6;Q2;0,679;Q1;108.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Conservation&btnG=
Environmental Control in Biology;1883-0986;https://www.jstage.jst.go.jp/browse/ecb/list/-char/en;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Agrárias e Biológicas;Scopus;-;-;0,286;Q3;25.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Control%20in%20Biology&btnG=
Environmental DNA;2637-4943;https://onlinelibrary.wiley.com/journal/26374943;Ciências Biológicas;Biologia Geral;Bioquímica, Ciência Ambiental, Ciências Agrárias e Biológicas, Genética e Biologia Molecular;Scopus;-;-;1,722;Q1;54.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20DNA&btnG=
Environmental Data Science;2634-4602;;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciência da Computação, Matemática;Scopus;-;-;0,652;Q2;11.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Data%20Science&btnG=
Environmental Development;2211-4645;https://www.journals.elsevier.com/environmental-development;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Sociais;Scopus;5,3;Q1;1,251;Q1;66.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Development&btnG=
Environmental Earth Sciences;1866-6299;http://www.springer.com/journal/12665;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Agrárias e Biológicas, Ciências da Terra e Planetárias;Scopus;2,8;Q2;0,696;Q1;173.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Earth%20Sciences&btnG=
Environmental Economics;1998-6041;https://businessperspectives.org/journals/environmental-economics?category_id=30;Ciências Sociais Aplicadas;Economia;Ciência Ambiental, Ciências Sociais, Econometria e Finanças, Economia, Energia;Scopus;1,3;Q3;0,398;Q2;14.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Economics&btnG=
Environmental Economics and Policy Studies;1867-383X;https://link.springer.com/journal/10018;Ciências Sociais Aplicadas;Economia;Ciência Ambiental, Econometria e Finanças, Economia;Scopus;2,1;Q2;0,691;Q2;40.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Economics%20and%20Policy%20Studies&btnG=
Environmental Education Research;1469-5871;https://www.tandfonline.com/toc/ceer20/current;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Sociais;Scopus;-;-;1,24;Q1;108.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Education%20Research&btnG=
Environmental Engineering (Lithuania);2029-7092;;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;-;-;0,109;Q4;4.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Engineering%20%28Lithuania%29&btnG=
Environmental Engineering Research;2005-968X;http://www.eer.or.kr;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;3;Q3;0,721;Q2;52.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Engineering%20Research&btnG=
Environmental Engineering Science;1557-9018;http://www.liebertonline.com/EES;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;1,8;Q4;0,457;Q3;81.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Engineering%20Science&btnG=
Environmental Engineering and Management Journal;1582-9596;http://www.ecozone.ro/reviste.php;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;-;-;0,209;Q4;51.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Engineering%20and%20Management%20Journal&btnG=
Environmental Entomology;0046-225X;https://academic.oup.com/ee;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Agrárias e Biológicas;Scopus;1,5;Q2;0,512;Q2;109.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Entomology&btnG=
Environmental Epidemiology;2474-7882;https://journals.lww.com/environepidem/pages/default.aspx;Ciências da Saúde;Medicina;Ciência Ambiental, Medicina;Scopus;-;-;1,126;Q1;31.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Epidemiology&btnG=
Environmental Epigenetics;2058-5888;https://academic.oup.com/cz;Ciências Biológicas;Biologia Geral;Bioquímica, Ciência Ambiental, Genética e Biologia Molecular, Medicina;Scopus;-;-;1,173;Q1;35.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Epigenetics&btnG=
Environmental Ethics;0163-4275;http://www.pdcnet.org/enviroethics;Lingüística, Letras e Artes;Artes;Artes e Humanidades, Ciência Ambiental;Scopus;1,1;Q3;0,312;Q1;39.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Ethics&btnG=
Environmental Evidence;2047-2382;https://link.springer.com/journal/13750;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;-;-;2,045;Q1;54.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Evidence&btnG=
Environmental Fluid Mechanics;1567-7419;https://www.springer.com/journal/10652;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;2,1;Q2;0,467;Q2;61.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Fluid%20Mechanics&btnG=
Environmental Forensics;1527-5930;https://www.tandfonline.com/toc/uenf20/current;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;1,2;Q4;0,385;Q3;47.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Forensics&btnG=
Environmental Geochemistry and Health;1573-2983;https://www.springer.com/journal/10653;Ciências da Saúde;Medicina;Ciência Ambiental, Ciências da Terra e Planetárias, Medicina;Scopus;3,8;Q1;0,92;Q1;106.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Geochemistry%20and%20Health&btnG=
Environmental Geotechnics;2051-803X;http://www.icevirtuallibrary.com/content/serial/envgeo;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências da Terra e Planetárias;Scopus;-;-;0,51;Q2;33.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Geotechnics&btnG=
Environmental Hazards;1747-7891;https://www.tandfonline.com/toc/tenh20/current;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Sociais;Scopus;1,7;Q3;0,639;Q1;67.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Hazards&btnG=
Environmental Health Engineering and Management;2423-3765;http://ehemj.com/;Ciências da Saúde;Medicina;Ciência Ambiental, Engenharia Química, Medicina;Scopus;1,2;Q4;0,378;Q3;19.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Health%20Engineering%20and%20Management&btnG=
Environmental Health Insights;1178-6302;https://journals.sagepub.com/home/ehi;Ciências da Saúde;Medicina;Ciência Ambiental, Medicina;Scopus;-;-;0,729;Q2;38.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Health%20Insights&btnG=
Environmental Health Perspectives;1552-9924;http://ehp03.niehs.nih.gov/home.action;Ciências da Saúde;Medicina;Ciência Ambiental, Medicina;Scopus;9,8;Q1;2,746;Q1;353.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Health%20Perspectives&btnG=
Environmental Health and Preventive Medicine;1342-078X;https://link.springer.com/journal/12199;Ciências da Saúde;Medicina;Medicina;Scopus;2,5;Q2;0,779;Q2;68.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Health%20and%20Preventive%20Medicine&btnG=
Environmental Health: A Global Access Science Source;1476-069X;http://www.ehjournal.net/;Ciências da Saúde;Medicina;Ciência Ambiental, Medicina;Scopus;-;-;1,769;Q1;133.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Health%3A%20A%20Global%20Access%20Science%20Source&btnG=
Environmental History;1930-8892;https://www.journals.uchicago.edu/toc/eh/current;Lingüística, Letras e Artes;Artes;Artes e Humanidades, Ciência Ambiental;Scopus;-;-;0,377;Q1;48.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20History&btnG=
Environmental Humanities;2201-1919;https://read.dukeupress.edu/environmental-humanities;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Sociais;Scopus;-;-;1,072;Q1;24.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Humanities&btnG=
Environmental Impact Assessment Review;0195-9255;https://www.journals.elsevier.com/environmental-impact-assessment-review;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Sociais;Scopus;11,2;Q1;2,958;Q1;134.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Impact%20Assessment%20Review&btnG=
Environmental Innovation and Societal Transitions;2210-4232;https://www.journals.elsevier.com/environmental-innovation-and-societal-transitions;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Sociais, Energia;Scopus;6,1;Q1;2,155;Q1;93.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Innovation%20and%20Societal%20Transitions&btnG=
Environmental Justice;1939-4071;http://www.liebertpub.com;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Sociais;Scopus;1,3;Q4;0,569;Q2;39.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Justice&btnG=
Environmental Law Review;1740-5564;https://us.sagepub.com/en-us/nam/journal/environmental-law-review;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Sociais;Scopus;-;-;0,412;Q2;11.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Law%20Review&btnG=
Environmental Management;0364-152X;https://link.springer.com/journal/267;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;3;Q3;0,9;Q1;153.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Management&btnG=
Environmental Microbiology;1462-2912;https://sfamjournals.onlinelibrary.wiley.com/journal/14622920;Ciências Biológicas;Biologia Geral;Ciências Agrárias e Biológicas, Imunologia e Microbiologia;Scopus;4;Q2;1,269;Q1;247.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Microbiology&btnG=
Environmental Microbiology Reports;1758-2229;https://sfamjournals.onlinelibrary.wiley.com/journal/17582229;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Agrárias e Biológicas;Scopus;-;-;0,823;Q1;97.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Microbiology%20Reports&btnG=
Environmental Microbiome;2524-6372;https://link.springer.com/journal/40793;Ciências Biológicas;Biologia Geral;Bioquímica, Genética e Biologia Molecular, Imunologia e Microbiologia;Scopus;-;-;1,741;Q1;55.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Microbiome&btnG=
Environmental Modeling and Assessment;1420-2026;https://link.springer.com/journal/10666;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;2,6;Q3;0,613;Q2;62.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Modeling%20and%20Assessment&btnG=
Environmental Modelling and Software;1873-6726;https://www.journals.elsevier.com/environmental-modelling-and-software;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciência da Computação, Matemática;Scopus;4,6;Q1;1,344;Q1;190.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Modelling%20and%20Software&btnG=
Environmental Monitoring and Assessment;0167-6369;http://www.springer.com/environment/monitoring+-+environmental+analysis/journal/10661;Ciências da Saúde;Medicina;Ciência Ambiental, Medicina;Scopus;3;Q3;0,832;Q2;161.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Monitoring%20and%20Assessment&btnG=
Environmental Nanotechnology, Monitoring and Management;2215-1532;https://www.journals.elsevier.com/environmental-nanotechnology-monitoring-and-management;Engenharias;Engenharia de Materiais e Metalúrgica;Ciência Ambiental, Ciência dos Materiais;Scopus;-;-;1,171;Q1;80.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Nanotechnology%2C%20Monitoring%20and%20Management&btnG=
Environmental Policy and Governance;1756-932X;https://onlinelibrary.wiley.com/journal/17569338;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Sociais;Scopus;3,9;Q2;1,394;Q1;67.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Policy%20and%20Governance&btnG=
Environmental Policy and Law;0378-777X;;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Sociais;Scopus;-;-;0,312;Q2;18.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Policy%20and%20Law&btnG=
Environmental Politics;0964-4016;https://www.tandfonline.com/toc/fenp20/current;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Sociais;Scopus;5,9;Q1;1,9;Q1;105.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Politics&btnG=
Environmental Pollutants and Bioavailability;2639-5940;https://www.tandfonline.com/toc/tcsb21/current;Ciências Biológicas;Farmacologia;Ciência Ambiental, Engenharia Química, Farmacologia, Toxicologia e Farmacêutica;Scopus;3,2;Q2;0,832;Q1;47.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Pollutants%20and%20Bioavailability&btnG=
Environmental Pollution;0269-7491;https://www.journals.elsevier.com/environmental-pollution;Ciências Biológicas;Farmacologia;Ciência Ambiental, Farmacologia, Medicina, Toxicologia e Farmacêutica;Scopus;7,3;Q1;2,022;Q1;346.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Pollution&btnG=
Environmental Pollution and Management;2950-3051;;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;-;-;1,596;Q1;7.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Pollution%20and%20Management&btnG=
Environmental Problems;2522-4417;https://science.lpnu.ua/ep;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;-;-;0,154;Q4;4.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Problems&btnG=
Environmental Processes;2198-7505;https://www.springer.com/journal/40710;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;4;Q2;1,033;Q1;53.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Processes&btnG=
Environmental Progress and Sustainable Energy;1944-7450;https://onlinelibrary.wiley.com/journal/19447450;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Energia, Engenharia Química;Scopus;2,3;Q3;0,465;Q2;87.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Progress%20and%20Sustainable%20Energy&btnG=
Environmental Quality Management;1520-6483;https://onlinelibrary.wiley.com/journal/15206483;Ciências da Saúde;Medicina;Ciência Ambiental, Medicina;Scopus;1,3;Q4;0,462;Q3;38.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Quality%20Management&btnG=
Environmental Research;1096-0953;http://www.journals.elsevier.com/environmental-research/;Ciências Biológicas;Biologia Geral;Bioquímica, Ciência Ambiental, Genética e Biologia Molecular, Medicina;Scopus;7,7;Q1;1,836;Q1;217.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Research&btnG=
Environmental Research Communications;2515-7620;https://iopscience.iop.org/journal/2515-7620;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Agrárias e Biológicas, Ciências da Terra e Planetárias;Scopus;-;-;0,71;Q1;37.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Research%20Communications&btnG=
Environmental Research Letters;1748-9326;http://iopscience.org/erl;Ciências da Saúde;Medicina;Ciência Ambiental, Energia, Medicina;Scopus;-;-;1,933;Q1;222.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Research%20Letters&btnG=
Environmental Research and Technology;2636-8498;http://dergipark.gov.tr/ert;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;-;-;0,289;Q3;9.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Research%20and%20Technology&btnG=
Environmental Research, Engineering and Management;2029-2139;https://www.erem.ktu.lt/index.php/erem;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Energia;Scopus;-;-;0,31;Q3;19.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Research%2C%20Engineering%20and%20Management&btnG=
Environmental Research: Climate;2752-5295;https://iopscience.iop.org/journal/2752-5295;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;-;-;1,798;Q1;18.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Research%3A%20Climate&btnG=
Environmental Research: Ecology;2752-664X;https://iopscience.iop.org/journal/2752-664X;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental;Scopus;-;-;0,711;Q1;9.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Research%3A%20Ecology&btnG=
Environmental Research: Food Systems;2976-601X;;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Agrárias e Biológicas;Scopus;-;-;0,64;Q1;6.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Research%3A%20Food%20Systems&btnG=
Environmental Research: Health;2752-5309;https://iopscience.iop.org/journal/2752-5309;Ciências da Saúde;Medicina;Ciência Ambiental, Medicina;Scopus;-;-;0,889;Q1;11.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Environmental%20Research%3A%20Health&btnG=
