titulo_revista,aims_scope,indexador,jif,sjr,grande_area,S_text,S_index,fator_impacto,Score_final
IC Revista Cientifica de Informacion y Comunicacion,"La Revista Científica de Información y Comunicación IC (ISSN: 1696-2508; E-ISSN: 2173-1071) es una revista anual que se publica en el mes de enero y está vinculada al Departamento de Periodismo I de la Universidad de Sevilla.IC desarrolla una política de acceso abierto, inclusiva, y con publicación en Creative Commons.Su misión es contribuir al análisis, la reflexión, el debate y la crítica teórica de aquellos para los que la comunicación no se restringe a un conjunto de técnicas y saberes profesionales. Todo ello compaginando una declarada vocación científica con las intenciones de servir de plataforma de proyección de nuevas perspectivas, nuevos acercamientos y posturas de académicos y pensadores de reconocido prestigio y también de jóvenes investigadores.IC tiene una clara vocación inte","Scopus, Web of Science - ESCI",1.5,173.0,Others / Unclassified,0.48394108,0.8,173.0,0.5471528804302216
Ciencia E Ingenieria,"https://doi.org/10.18359/issn.2011-0731 La revista Academia y Virtualidad es una publicación científica arbitrada de acceso abierto que tiene el propósito de ser un canal de difusión del conocimiento en ciencias de la educación. Sus temáticas centrales son: desarrollos en investigación sobre educación a distancia y virtual, prácticas y experiencias relacionadas con el trabajo pedagógico y la educación superior bajo la metodología de aprendizaje a distancia, entornos virtuales, y tecnologías de la información y la comunicación (TIC). La revista acepta también trabajos relacionados con otras experiencias educativas. La revista publica artículos inéditos que responden a criterios de relevancia, originalidad y pertinencia temática, escritos en español, inglés y portugués. Está dirigida a profe",Web of Science - ESCI,3.0,,Others / Unclassified,0.5550631,0.5,3.0,0.544050520658493
Prolegomenos-Derechos Y Valores,"https://doi.org/10.18359/issn.2011-0731 La revista Academia y Virtualidad es una publicación científica arbitrada de acceso abierto que tiene el propósito de ser un canal de difusión del conocimiento en ciencias de la educación. Sus temáticas centrales son: desarrollos en investigación sobre educación a distancia y virtual, prácticas y experiencias relacionadas con el trabajo pedagógico y la educación superior bajo la metodología de aprendizaje a distancia, entornos virtuales, y tecnologías de la información y la comunicación (TIC). La revista acepta también trabajos relacionados con otras experiencias educativas. La revista publica artículos inéditos que responden a criterios de relevancia, originalidad y pertinencia temática, escritos en español, inglés y portugués. Está dirigida a profe",Web of Science - ESCI,,,Others / Unclassified,0.5550631,0.5,0.0,0.544050520658493
Academia Y Virtualidad,"https://doi.org/10.18359/issn.2011-0731 La revista Academia y Virtualidad es una publicación científica arbitrada de acceso abierto que tiene el propósito de ser un canal de difusión del conocimiento en ciencias de la educación. Sus temáticas centrales son: desarrollos en investigación sobre educación a distancia y virtual, prácticas y experiencias relacionadas con el trabajo pedagógico y la educación superior bajo la metodología de aprendizaje a distancia, entornos virtuales, y tecnologías de la información y la comunicación (TIC). La revista acepta también trabajos relacionados con otras experiencias educativas. La revista publica artículos inéditos que responden a criterios de relevancia, originalidad y pertinencia temática, escritos en español, inglés y portugués. Está dirigida a profe",Web of Science - ESCI,,,Exact and Earth Sciences,0.5550631,0.5,0.0,0.544050520658493
Arquitetura Revista,"Arquiteturarevista está direcionada para a divulgação de trabalhos científicos relacionados com os diferentes campos disciplinares que se vinculam ao território, ao edifício e ao espaço digital, estabelecendo, a partir dessa nova tríade o lócus fundamental para que se avance nas reflexões sobre a arquitetura contemporânea. O periódico tem interesse em temáticas centradas na prática arquitetônica em seus aspectos funcionais, compositivos, tipomorfológico e técnico-construtivos bem como nas dinâmicas de formação, crescimento e desenvolvimento das cidades em termos socioespaciais, culturais, econômicos e ambientais aplicados à atualidade. Propõe a criação de um espaço de produção e discussão intelectual sobre temas emergentes da arquitetura contemporânea, preferencialmente com abordagens rela","Scopus, Web of Science - AHCI",,126.0,"Humanities, Others / Unclassified",0.47974122,0.8,126.0,0.5437929666042328
ARS (São Paulo),"Missão: A missão editorial da ARS consiste em: 1) incentivar a produção artística e cultural brasileira em geral; 2) oferecer a artistas, professores de arte e pesquisadores atuantes no Brasil e no Exterior, em início de carreira ou com trajetórias profissionais já consolidadas, o fórum privilegiado de debate e intercâmbio de conhecimentos que a vida acadêmica pode propiciar; 3) constituir-se em uma instâ. A missão editorial da ARS consiste em: 1) incentivar a produção artística e cultural brasileira em geral; 2) oferecer a artistas, professores de arte e pesquisadores atuantes no Brasil e no Exterior, em início de carreira ou com trajetórias profissionais já consolidadas, o fórum privilegiado de debate e intercâmbio de conhecimentos que a vida acadêmica pode propiciar; 3) constituir-se em uma instância de crítica e revigoramento recíprocos para o meio acadêmico e artístico e cultural, favorecendo uma presença propositiva da Universidade na sociedade brasileira; 4) buscar o nível da excelência acadêmica na pesquisa artística, cultural e científica; 5) incentivar o diálogo das artes visuais com outras áreas da produção cultural e científica e 6) formar um público leitor na área especializada","Scielo, Scopus",,0.1,"Letters And Arts, Linguistics",0.4791986,0.8,0.1,0.543358895778656
Revista de la Educacion Superior,"La Revista de la Educación Superior (RESU) es un medio que se propone publicar textos académicos originales sobre la educación superior mexicana, con apertura a la dimensión internacional. Sus destinatarios son tanto investigadores que trabajan temas de educación superior como directivos, especialistas e interesados en planeación, evaluación y gestión de las instituciones y sistemas de educación superior. Por consiguiente, se difunden artículos de investigación, ensayos académicos y reseñas críticas, que propicien que los lectores enriquezcan su bagaje conceptual y analítico, y amplíen su conocimiento acerca de los retos que enfrentan los sistemas e instituciones de educación superior en los entornos nacional e internacional.",Scopus,,139.0,Others / Unclassified,0.47902858,0.8,139.0,0.5432228779792786
Fisioterapia em Movimento,"Missão: Constituir-se em estímulo e instrumento de divulgação dos resultados da investigação científica ancorada em critérios de rigor metodológico e atenção à saúde humana, publicando trabalhos técnico-científicos que abordam temas de abrangência de fisioterapia e áreas afins, prescrevendo a interdisciplinaridade. Número mais recente Fisioterapia em Movimento, Volume: 39, Publicado: 2026. Constituir-se em estímulo e instrumento de divulgação dos resultados da investigação científica ancorada em critérios de rigor metodológico e atenção à saúde humana, publicando trabalhos técnico-científicos que abordam temas de abrangência de fisioterapia e áreas afins, prescrevendo a interdisciplinaridade.

Fisioterapia em Movimento, Volume: 39, Publicado: 2026","Scielo, Scopus",,225.0,Health Sciences,0.47736123,0.8,225.0,0.5418889856338501
Revista Eletronica de Direito Processual,"APRESENTAÇÃO Volume 27 — Número 2 (Maio/Agosto de 2026) É com grande satisfação que apresentamos à comunidade jurídica nacional e internacional o segundo número do volume 27 da Revista Eletrônica de Direito Processual (REDP), referente ao quadrimestre de maio a agosto de 2026. Editado de modo ininterrupto desde 2007 pelo Programa de Pós-Graduação Stricto Sensu em Direito Processual da Faculdade de Direito da Universidade do Estado do Rio de Janeiro (UERJ), o periódico tem como patrono o saudoso Professor José Carlos Barbosa Moreira, cuja memória e obra continuam a inspirar o rigor científico e a generosidade intelectual que caracterizam estas páginas. Classificada como Qualis A1 pela CAPES na área do Direito, a REDP é hoje uma das mais consolidadas referências em matéria processual no espa",Scopus,,188.0,Others / Unclassified,0.47615674,0.8,188.0,0.5409253871440888
Revista Espanola de Cirugia Oral y Maxilofacial,"Consulte los artículos y contenidos publicados en este medio, además de los e-sumarios de las revistas científicas en el mismo momento de publicación

Revista Española de Cirugía Oral y Maxilofacial es la revista oficial de la Sociedad Española de Cirugía Oral y Maxilofacial (SECOM) que aglutina a más de 800 profesionales. Publica solamente artículos originales orientados a la investigación, la clínica, revisiones sistemáticas y documentos de consenso. Dispone además de una sección dedicada a los médicos residentes, potenciando la interacción entre estos y el resto de la Sociedad. ¿La Revista se ha convertido en un importante órgano de intercambio científico a nivel internacional, ya que aglutina profesionales de España, Portugal y Latinoamérica. Es de acceso abierto. El comité editorial y",Scopus,,168.0,Health Sciences,0.4754504,0.8,168.0,0.5403603351116181
Revista Brasileira de Estudos Pedagógicos,"A Revista Brasileira de Estudos Pedagógicos (RBEP), criada em 1944, é um periódico quadrimestral, publicado em formato impresso e eletrônico. A RBEP publica artigos inéditos, resultantes de pesquisas que apresentem consistência, rigor e originalidade na abordagem do tema e que contribuam para a construção do conhecimento na área de Educação. A RBEP também publica relatos de experiência e resenhas. Não aceita textos que tenham sido enviados concomitantemente a outras revistas e que não atendam a princípios éticos de pesquisa. Seu público-leitor é formado por professores, pesquisadores e alunos de graduação e pós-graduação, bem como técnicos e gestores da área educacional.

© 2026 Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira - INEP","Educ@, Scielo",,,"Humanities, Others / Unclassified",0.52534235,0.6,0.0,0.5402738702297211
Teoria de la Educacion,"Teoría de la Educación. Revista Interuniversitaria se fundó en el año 1986. Es una revista académica internacional de Pedagogía que publica, en acceso abierto, trabajos originales de investigación desde una perspectiva y metodología teórica de la educación, con el objetivo de aportar conocimientos pedagógicos a investigadores y profesionales que permitan mejorar, mediante una discusión crítica fundamentada, la descripción, explicación, comprensión y aplicación del pensamiento y la acción educativos. Pertenece al Servicio de Publicaciones de la Universidad de Salamanca. Edita dos números al año, uno por semestre (en.-jun. y jul.-dic.). La recepción de artículos es permanente. Publica trabajos originales en español, inglés o portugués, admitiéndose excepcionalmente en otras lenguas.","Scopus, Web of Science - ESCI",1.4,525.0,"Letters And Arts, Linguistics, Others / Unclassified",0.47378924,0.8,525.0,0.539031389951706
Revista de Salud Publica,"Objetivo e Escopo: A Revista de Saúde Pública da Universidade Nacional da Colômbia dedica-se a difundir os resultados de pesquisas e conhecimentos, mediante a publicação de artigos originais, que contribuam ao estudo da saúde pública, e disciplinas afins, e a sua utilização como ferramentas para melhorar a qualidade de vida da população.. Missão: A Revista de Saúde Pública da Universidade Nacional da Colômbia dedica-se a difundir os resultados de pesquisas e conhecimentos, mediante a publicação de artigos originais, que contribuam ao estudo da saúde pública, e disciplinas afins, e a sua utilização como ferramentas para melhorar a qualidade d",Scopus,,154.0,Health Sciences,0.47169292,0.8,154.0,0.5373543536663056
Pasavento-Revista De Estudios Hispanicos,"Pasavento. Revista de Estudios HispÃ¡nicos toma el nombre de la novela del escritor barcelonÃ©s Enrique Vila-Matas, Doctor Pasavento, cuyo protagonista viaja a Suiza tras las huellas de su admirado Robert Walser hasta desprenderse de cualquier atisbo de su propia personalidad y asumir las voces ajenas como si fueran suyas, convirtiÃ©ndose de este modo en metÃ¡fora y sÃ­mbolo de la creaciÃ³n literaria. Desde esta concepciÃ³n multiforme y plural del proceso artÃ­stico, nuestro objetivo ha sido crear una revista de estudios hispÃ¡nicos dirigida al lector e investigador especializado, y abierta a las diversas manifestaciones artÃ­sticas (narrativa, poesÃ­a, teatro, cine, cÃ³mic) que se han producido en EspaÃ±a e HispanoamÃ©rica a partir de 1975. El formato de publicaciÃ³n es digital, ofreciend","Scopus, Web of Science - ESCI",,318.0,"Letters And Arts, Linguistics, Others / Unclassified",0.47132307,0.8,318.0,0.5370584762096405
Revista Electronica de Investigacion Educativa,"La REDIE tiene como objetivo principal dar a conocer la investigación que se realiza a nivel regional, nacional e internacional en el campo de la educación, aprovechando las ventajas que ofrece el medio electrónico al quehacer académico.","Scopus, Web of Science - ESCI",,309.0,Others / Unclassified,0.4708155,0.8,309.0,0.5366524195671082
Actualidades Pedagogicas,"ISSN: 0120-1700e-ISSN: 2389-8755Editor: Camilo Castillo-Rojas En nuestro número 87, recordando la premisa fundacional de Actualidades Pedagógicas, encontraremos artículos que recogen nuevas perspectivas sobre la educación. Este número misceláneo, propone reflexiones sobre educación digital, educación comunitaria, aprendizaje de lenguas y nuevas preocupaciones e investigaciones sobre la escuela. Como es nuestra costumbre, contamos con voces internacionales y nacionales que aportan desde sus experiencias y saberes profundidad al quehacer educativo. Les invitamos a echas un vistazo a nuestros artículos y compartirlos en sus redes sociales. Más Menos",Web of Science - ESCI,1.1,,Others / Unclassified,0.5448749,0.5,1.1,0.535899943113327
Revista Brasileira de Direito Processual Penal,"Missão: Vinculada ao Instituto Brasileiro de Direito Processual Penal (IBRASPP) e, assim, unida à sua pretensão de fomentar a produção e divulgação de conhecimento científico relacionado ao direito processual penal, a Revista Brasileira de Direito Processual Penal tem como objetivo a publicação de textos científicos sobre temas que envolvem o direito processual penal, abrindo espaço para o diálogo com out. Vinculada ao Instituto Brasileiro de Direito Processual Penal (IBRASPP) e, assim, unida à sua pretensão de fomentar a produção e divulgação de conhecimento científico relacionado ao direito processual penal, a Revista Brasileira de Direito Processual Penal tem como objetivo a publicação de textos científicos sobre temas que envolvem o direito processual penal, abrindo espaço para o diálogo com outras áreas do direito e os variados campos do conhecimento ligados às ciências criminais.","Scielo, Scopus, Web of Science - ESCI",0.4,318.0,"Health Sciences, Others / Unclassified",0.46911082,0.8,318.0,0.5352886652946472
Universitas Philosophica,"ISSN: 2346-2426 (En línea) | ISSN: 0120-5323 (Impreso)La revista está orientada a la promoción, divulgación y comunicación de la filosofía como tal, y a las relaciones de esta con otras ciencias, saberes y prácticas. Así mismo, está encaminada hacia la relación, socialmente responsable, con la comunidad humana local, nacional e internacional, a través de un diálogo vivo y significativo que le permita enriquecer la reflexión filosófica de la humanidad. Si tiene problemas técnicos con la plataforma OJS, pedimos amablemente enviar sus contribuciones a los correos electrónicos uniphilo@javeriana.edu.co o alejandra.marin@javeriana.edu.co. Más Menos",Scopus,,0.1,"Letters And Arts, Linguistics",0.46892822,0.8,0.1,0.5351425743103028
Itamar,Aims and Scope: Published by Universitat de Valencia. Focuses on scholarly research in the field of Itamar Revista de investigación musical territorios para el arte.,Scopus,,111.0,"Letters And Arts, Linguistics",0.46627283,0.8,111.0,0.5330182647705078
Vniversitas,"Publicación continua ISSN: 2011-1711 (En línea) | ISSN: 0041-9060 (Impreso) Perspectivas KelsenianasEditores invitados: Julián Daniel González Escallón y Miguel Ángel Muñoz García Tras 50 años de la muerte de Hans Kelsen, muchos de sus textos han sido objeto tanto de crítica como de constante análisis y estudio. En particular, su Teoría Pura del Derecho sigue siendo uno de los libros más estudiados en las clases de Filosofía Jurídica y de Introducción al Derecho en Colombia. Sin embargo, Kelsen fue un jurista prolífico en su producción y su obra abarca distintos espectros disciplinares que en general, suelen ser conocidos únicamente por quienes tienen contacto con ellos en su trabajo académico, pero que no suelen llegar al público amplio; estos textos se suelen convertir en piezas de estud",Scopus,,329.0,Others / Unclassified,0.46578076,0.8,329.0,0.5326246058940888
Philomusica,Rivista di musicologia del Dipartimento di Musicologia e Beni Culturali dell'Università degli Studi di Pavia,"Scopus, Web of Science - ESCI",0.1,101.0,"Letters And Arts, Linguistics, Others / Unclassified",0.46489424,0.8,101.0,0.5319154000282288
Revista Espanola de Nutricion Humana y Dietetica,"Sobre la revista La Revista Española de Nutrición Humana y Dietética es la revista científica de la Academia Española de Nutrición y Dietética. Publica 4 números ordinarios al año, es de acceso abierto, no tiene coste de publicación para las personas autoras y cuenta con revisión por pares. Publica artículos principalmente originales o revisiones sistemáticas sobre cualquier tema relacionado con la nutrición humana y dietética.","Scopus, Web of Science - ESCI",0.3,188.0,"Health Sciences, Others / Unclassified",0.4635614,0.8,188.0,0.5308491027355194
Opus (Associação Nacional de Pesquisa e Pós-Graduação em Música),"Missão: Divulgar a pluralidade do conhecimento em música no Brasil, considerados aspectos de cunho prático, teórico, histórico, político, cultural e/ou interdisciplinar, encorajando o desenvolvimento de novas perspectivas metodológicas. Número mais recente Opus (Associação Nacional de Pesquisa e Pós-Graduação em Música), Volume: 32, Publicado: 2026. Divulgar a pluralidade do conhecimento em música no Brasil, considerados aspectos de cunho prático, teórico, histórico, político, cultural e/ou interdisciplinar, encorajando o desenvolvimento de novas perspectivas metodológicas.",Scielo,,,"Letters And Arts, Linguistics",0.51313245,0.6,0.0,0.5305059802532196
Veredas,Veredas é uma revista semestral da Associação Internacional de Lusitanistas. Trata-se de uma publicação científica que tem como objetivo a divulgação de pesquisas sobre a literatura e a cultura dos países de língua portuguesa.,Scopus,,0.1,"Letters And Arts, Linguistics",0.4626687,0.8,0.1,0.5301349496841431
REVISTA EDUCAÇÃO ESPECIAL (ONLINE),"A Revista Educação Especial tem como finalidade veicular somente artigos inéditos na área de Educação Especial, provenientes de pesquisas e práticas articuladas no campo. A Revista é organizada em sessões de Dossiê, Demanda Contínua e Resenha, sendo que os dois primeiros números do ano atendem à demanda do fluxo contínuo e o terceiro número do ano é organizado na forma de Dossiê Temático. A revista tem o Português (Brasil) como idioma principal, mas os textos podem também ser escritos em inglês, espanhol e francês. A Revista Educação Especial não realiza cobranças para submissão de artigos, bem como para sua publicação.",Educ@,,,Humanities,0.56035817,0.4,0.0,0.528286533355713
Reflexion Politica,"La Tercera Orilla promueve la difusión de la investigación y la discusión entre profesionales interesados en las áreas de Educación, Comunicación Social, Estudios socio-humanísticos, Música, Literatura, Lenguas, Artes y Gastronomía, así como el intercambio de trabajos científicos producidos en universidades e instituciones nacionales e internacionales en los campos mencionados. Se trata de una revista coherente con la Facultad de Ciencias Sociales, Humanidades y Artes, un espacio abierto para la comunidad tanto local como nacional e internacional.",Web of Science - ESCI,,,Humanities,0.53389025,0.5,0.0,0.5271121919155121
CONTRAPONTOS,"A política editorial da Contrapontos foi redefinida e mais focada a partir de 2010. A equipe editorial decidiu que a publicação deverá ser mais coerente com o eixo temático 'Políticas públicas para educação e práticas educativas' do Programa de Pós- graduação em Educação da UNIVALI. Ficou definido que os artigos recebidos deverão versar sobre as políticas públicas de educação, seus princípios orientadores e a consolidação das mesmas em normas, programas e práticas educativas com ênfase nos saberes docentes, na distribuição de papéis e na organização das atividades pedagógicas. Serão aceitos ainda, textos que abordem diferentes linguagens, tecnologia educacional e formação docente. Sendo assim, nossa opção é para publicações de pesquisadores doutores e brasileiros, não excluindo em cada vol",Educ@,,,Humanities,0.555286,0.4,0.0,0.5242287981510163
SÉRIE-ESTUDOS,"A Revista Série-Estudos publica artigos científicos relacionados a área de educação de autores brasileiros e estrangeiros. Os artigos podem ser submetidos na língua portuguesa ou em língua estrangeira. A missão da Revista é contribuir para a divulgação do conhecimento científico na área de educação. Os artigos podem ser enviados como demanda contínua ou em forma de Dossiê. Todos os artigos serão avaliados por dois consultores ad hoc. Em caso de pareceres discrepantes, o artigo será enviado para um terceiro consultor.",Educ@,,,Humanities,0.5542482,0.4,0.0,0.5233985650539399
Educação em Revista,"Missão: A Educação em Revista, é um periódico eletrônico de acesso aberto, tem a missão de publicar - em fluxo contínuo - artigos originais oriundos de pesquisa na área educacional, assim como entrevistas e documentos de amplo interesse acadêmico. Tem como propósito abordar questões atuais e significativas para a compreensão dos fenômenos educativos, e aceita trabalhos diretamente relacionados à área de E. A Educação em Revista, é um periódico eletrônico de acesso aberto, tem a missão de publicar - em fluxo contínuo - artigos originais oriundos de pesquisa na área educacional, assim como entrevistas e documentos de amplo interesse acadêmico. Tem como propósito abordar questões atuais e significativas para a compreensão dos fenômenos educativos, e aceita trabalhos diretamente relacionados à área de Educação.","Educ@, Scielo",,,"Humanities, Others / Unclassified",0.5011461,0.6,0.0,0.5209168744087219
ESTUDOS EM AVALIAÇÃO EDUCACIONAL,"Estudos em Avaliação Educacional é um periódico científico de publicação contínua da Fundação Carlos Chagas (FCC). Criado em 1990, tem como objetivo divulgar a produção acadêmica relacionada com a avaliação educacional e a análise de políticas e programas que dialogam com a avaliação e/ou venham a subsidiar estudos avaliativos, acolhendo trabalhos originários de diferentes áreas das ciências humanas, com perspectivas teóricas e metodológicas diversas, propiciando a troca de informações e o debate acadêmico. Publica trabalhos inéditos, apresentados sob a forma de artigo científico, relato de experiência, ensaio teórico-metodológico e resenha. Eventualmente, publica entrevistas propostas e organizadas pelo Comitê Editorial ou por especialistas e pesquisadores da área.",Educ@,,,Humanities,0.5485556,0.4,0.0,0.5188445019721986
Torre Del Virrey-Revista De Estudios Culturales,"Cuál sea la forma que adopte esa comunidad, de la amistad al Estado, es menos importante que su idea o que su finalidad exija mucho más tiempo que el tiempo vital reservado a los individuos que la compongan; lo importante, lo único importante, es que esos individuos no crean, cuando les llegue su momento de responsabilidad, de sinceridad última, de separación y de entrega, que han vivido en vano. Cientos de artículos y de reseñas, más de veinte libros publicados, decenas de seminarios en una escrupulosa colaboración institucional, podrían servir para dar testimonio de que la torre del Virrey ha ido constituyéndose en una comunidad de educación liberal basada en la lengua franca de la traducción, que no privilegia ningún dialecto; en la renuncia a toda tentación de sustituir la interpretaci",Web of Science - ESCI,,,Others / Unclassified,0.5201943,0.5,0.0,0.5161554276943207
Enunciacion,"A partir del volumen 31, número 1 (2026), la Revista Enunciación adopta el modelo de publicación continua, una modalidad editorial que permite la publicación progresiva de los artículos a medida que estos completan satisfactoriamente todas las etapas del proceso editorial. Este cambio responde al interés de la revista por fortalecer la circulación oportuna del conocimiento científico y optimizar los tiempos de comunicación. Bajo este modelo, los artículos aceptados se publican individualmente dentro del número en curso una vez finalizan los procesos editoriales, sin necesidad de esperar al cierre completo del fascículo. La implementación de la publicación continua busca mejorar la visibilidad y el acceso oportuno a los resultados de investigación en los campos del lenguaje, la educación y",Web of Science - ESCI,,,Others / Unclassified,0.5188599,0.5,0.0,0.5150879383087158
EDUCAÇÃO: TEORIA E PRÁTICA,"A revista Educação: Teoria e Prática é uma publicação contínua do Departamento de Educação/IB e do Programa de Pós-Graduação em Educação, da Universidade Estadual Paulista 'Júlio de Mesquita Filho' - Unesp/Câmpus de Rio Claro. Constitui-se em importante instrumento para o diálogo crítico e discussão entre professores, pesquisadores, especialistas em educação e alunos que, ao longo de sua existência, foi fortalecendo sua vocação acadêmica no que concerne à produção de conhecimentos de cunho interdisciplinar, deslocando-se da inserção local, para regional, nacional, com vistas à inserção internacional. A revista contou com uma versão impressa de 1993 a 2010 (ISSN: 1981-8106) e hoje é eletrônica. Avaliação quadrienal Qualis CAPES 2017-2020: A2.",Educ@,,,Humanities,0.5437311,0.4,0.0,0.5149848926067353
Revista Brasileira de Literatura Comparada,"Missão: A Revista Brasileira de Literatura Comparada tem como missão publicar artigos, resenhas, entrevistas, depoimentos e outros documentos que enfoquem a Literatura Comparada, em português, alemão, espanhol, francês, galego, inglês e italiano, tanto a partir de uma perspectiva nacional quanto de quadros de referência para além do nacional que discutam os laços cosmopolitas de diversas tradições literár. A Revista Brasileira de Literatura Comparada tem como missão publicar artigos, resenhas, entrevistas, depoimentos e outros documentos que enfoquem a Literatura Comparada, em português, alemão, espanhol, francês, galego, inglês e italiano, tanto a partir de uma perspectiva nacional quanto de quadros de referência para além do nacional que discutam os laços cosmopolitas de diversas tradições literárias.",Scielo,,,"Letters And Arts, Linguistics",0.4926778,0.6,0.0,0.5141422402858734
Organizações & Sociedade,"Missão: A O&S acolhe dois tipos de artigos: desenvolvimento teórico e investigação empírica. Os artigos empíricos devem ser baseados no trabalho empírico e no processo robusto de teorização para produzir uma forte contribuição aos estudos e práticas organizacionais. Nos artigos empíricos, existe uma interação entre a pesquisa teórica e empírica; elas são mutuamente informativas. Artigos teóricos devem pro. A O&S acolhe dois tipos de artigos: desenvolvimento teórico e investigação empírica. Os artigos empíricos devem ser baseados no trabalho empírico e no processo robusto de teorização para produzir uma forte contribuição aos estudos e práticas organizacionais. Nos artigos empíricos, existe uma interação entre a pesquisa teórica e empírica; elas são mutuamente informativas. Artigos teóricos devem promover a teoria ou o processo de desenvolvimento de teorias sobre organizações, metodologia de pesquisa e/ou questões da sociedade. Artigos teóricos (a) desenvolvem uma nova teoria, (b) desafiam, significativamente, expandem ou esclarecem teorias atuais, (c) sintetizam avanços e ideias recentes em novas teorias, (d) iniciam uma busca por nova teoria ao identificar e delinear, cuidadosamente, um nov",Scielo,,,Others / Unclassified,0.49221164,0.6,0.0,0.5137693238258362
Revista Brasileira de Psicodrama,"Missão: Estimular o debate e o desenvolvimento científico do Psicodrama por meio da publicação de artigos originais e inéditos de relevância teórica e prática, contribuindo para o avanço da especialidade e da pesquisa científica. Número mais recente Revista Brasileira de Psicodrama, Volume: 34, Publicado: 2026. Estimular o debate e o desenvolvimento científico do Psicodrama por meio da publicação de artigos originais e inéditos de relevância teórica e prática, contribuindo para o avanço da especialidade e da pesquisa científica.",Scielo,,,Others / Unclassified,0.48768994,0.6,0.0,0.5101519477367401
Gondola-Ensenanza Y Aprendizaje De Las Ciencias,"Góndola, enseñanza y aprendizaje de las ciencias (puede ser referenciada como Góndola, Ens Apr Cien.) nació en el año 2006 como un medio para la divulgación del conocimiento en el campo educativo y de investigación en la enseñanza y el aprendizaje de las ciencias naturales (física, química, biología, astronomía) y las matemáticas. Desde entonces, se ha consolidado en un escenario de fortalecimiento para la comunidad académica de profesores de ciencias naturales tanto en formación como en ejercicio profesional en los diferentes niveles educativos. De acuerdo con la clasificación de áreas científicas de la organización para la Cooperación y el Desarrollo Económico (OCDE), la revista pertenece al área de conocimiento de ciencias de la educación y al área específica (disciplina) de educación.",Web of Science - ESCI,4.9,,Others / Unclassified,0.5120561,0.5,4.9,0.5096449017524719
"PRÁTICAS EDUCATIVAS, MEMÓRIAS E ORALIDADES","O escopo da revista Práticas Educativas, Memórias e Oralidades (Rev.Pemo) é publicar artigos e produtos pedagógicos originais, nacionais e internacionais, derivados de resultados de pesquisas acadêmicas, que contribuam para o avanço do conhecimento ou para a melhoria da vida em sociedade. O foco são artigos científicos derivados de pesquisas empíricas e produtos pedagógicos (técnicos/tecnológicos) com ênfase nas Ciências Humanas, de forma interdisciplinar, considerando o ensino e a aprendizagem, que colaboram com a ampliação do conhecimento no que diz respeito à qualificação das práticas educativas e à valorização de memórias e oralidades de estudantes e professores do ensino básico e superior. Valoriza a educação e o ensino, divulgando conhecimentos na interface de diversas licenciaturas",Educ@,,,Humanities,0.53553426,0.4,0.0,0.5084274280071259
Calle 14-Revista De Investigacion En El Campo Del Arte,"La revista CALLE14 es un medio de circulación de saberes y conocimientos producidos por las comunidades académicas especializadas en el campo del arte que, debido a su acción mediadora, facilita la construcción de comunidades artísticas disciplinares e interdisciplinares, de redes de investigadores en el ámbito nacional e internacional y, ante todo, propende por la apropiación social del conocimiento como un instrumento de transformación de sujetos y colectividades.",Web of Science - ESCI,6.2,,Others / Unclassified,0.5067589,0.5,6.2,0.5054071605205536
REVISTA DA FAEEBA: EDUCAÇÃO E CONTEMPORANEIDADE,"Publicação trimestral temática que analisa e discute assuntos de interesse educacional, científico e cultural. Os pontos de vista apresentados são da exclusiva responsabilidade de seus autores.",Educ@,,,Humanities,0.5291245,0.4,0.0,0.5032996106147767
Guiniguada,"El Guiniguada adopta la modalidad ONLINE FIRST. Con esta se avanzan y publican manuscritos aceptados (ya revisados por pares ciego y maquetados), y que figuran tan solo en espera de conformarse en número completo. Se publican a partir del 20 de enero del 2026; cada artículo lleva especificada, no obstante, su fecha concreta de publicación. Recordamos que la sección monográfica correspondiente a este número 35 (2026), a cargo del Dr. D. Iván Martín Rodríguez (UNAM), lleva por título De lo “policomunicativo” a lo motivacional: videojuegos, cine, radiotelevisión y realidad extendida. Los trabajos recogidos en este monográfico tendrán como concepto vehicular tanto el aprendizaje como los diferentes productos y lenguajes audiovisuales que, por su naturaleza, poseen capacidad para impactar en el",Web of Science - ESCI,,,Humanities,0.5038731,0.5,0.0,0.5030984938144684
